Estado,Municipio,Hasta 1.99,2.00 a 2.60,2.61 a 3.99,4.00 a 6.99,7.00 a 10.99,11.00 en adelante,Total general,mes,anio
México,Acolman,525,230,264,281,141,99,1540,4,2014
México,Aculco,409,170,324,207,41,12,1163,4,2014
México,Almoloya de Alquisiras,10,1,2,1,,,14,4,2014
México,Almoloya de Juárez,242,77,94,42,8,4,467,4,2014
México,Almoloya del Río,7,,1,,,,8,4,2014
México,Amatepec,30,,,,,,30,4,2014
México,Amecameca,311,117,99,70,27,6,630,4,2014
México,Apaxco,576,100,152,154,103,39,1124,4,2014
México,Atenco,129,38,28,8,,,203,4,2014
México,Atizapán,117,25,54,22,2,7,227,4,2014
México,Atizapán de Zaragoza,6016,2229,3712,2516,822,475,15770,4,2014
México,Atlacomulco,1405,941,1628,1407,388,209,5978,4,2014
México,Atlautla,9,4,9,3,2,1,28,4,2014
México,Axapusco,87,22,43,18,9,9,188,4,2014
México,Ayapango,48,8,2,,,1,59,4,2014
México,Calimaya,109,14,38,7,2,4,174,4,2014
México,Capulhuac,59,42,52,52,33,25,263,4,2014
México,Chalco,4640,1696,1680,917,250,81,9264,4,2014
México,Chapa de Mota,75,120,43,18,1,1,258,4,2014
México,Chapultepec,36,17,4,7,1,1,66,4,2014
México,Chiautla,140,39,39,7,2,,227,4,2014
México,Chicoloapan,798,419,394,199,71,43,1924,4,2014
México,Chiconcuac,160,58,22,14,13,6,273,4,2014
México,Chimalhuacán,785,267,228,121,42,6,1449,4,2014
México,Coacalco de Berriozábal,2218,918,1137,713,195,90,5271,4,2014
México,Coatepec Harinas,107,213,50,11,1,17,399,4,2014
México,Cocotitlán,75,6,15,2,,1,99,4,2014
México,Coyotepec,51,13,24,20,3,1,112,4,2014
México,Cuautitlán,1682,834,2519,1934,828,590,8387,4,2014
México,Cuautitlán Izcalli,7530,5704,9709,7605,2764,2191,35503,4,2014
México,Donato Guerra,3,,,,,,3,4,2014
México,Ecatepec de Morelos,14331,5088,8047,7742,2419,1842,39469,4,2014
México,El Oro,62,9,12,4,2,,89,4,2014
México,Huehuetoca,443,442,856,974,272,142,3129,4,2014
México,Hueypoxtla,100,2,2,4,,,108,4,2014
México,Huixquilucan,2742,1230,2778,2679,1338,1539,12306,4,2014
México,Isidro Fabela,9,6,6,1,,,22,4,2014
México,Ixtapaluca,1998,1111,1596,1233,352,115,6405,4,2014
México,Ixtapan de la Sal,413,171,218,93,42,8,945,4,2014
México,Ixtlahuaca,974,500,673,383,155,24,2709,4,2014
México,Jaltenco,64,14,17,7,,,102,4,2014
México,Jilotepec,684,416,1416,890,168,55,3629,4,2014
México,Jilotzingo,86,24,39,25,10,,184,4,2014
México,Jiquipilco,56,7,3,1,,,67,4,2014
México,Jocotitlán,2237,904,782,382,82,69,4456,4,2014
México,Juchitepec,29,22,1,2,,1,55,4,2014
México,La Paz,4082,1164,2049,1492,699,273,9759,4,2014
México,Lerma,2016,2361,6880,5135,1601,1097,19090,4,2014
México,Luvianos,5,,,,,,5,4,2014
México,Malinalco,73,36,43,31,10,1,194,4,2014
México,Melchor Ocampo,261,35,46,20,6,1,369,4,2014
México,Metepec,3849,1779,2859,2514,848,458,12307,4,2014
México,Mexicaltzingo,63,42,96,36,6,5,248,4,2014
México,Morelos,24,34,16,11,1,1,87,4,2014
México,Naucalpan de Juárez,21879,9322,15150,14265,6483,5600,72699,4,2014
México,Nextlalpan,172,23,87,73,42,17,414,4,2014
México,Nezahualcóyotl,7193,2092,2262,1510,450,200,13707,4,2014
México,Nicolás Romero,1998,553,749,353,78,32,3763,4,2014
México,Nopaltepec,37,,2,2,,,41,4,2014
México,Ocoyoacac,577,437,771,555,405,187,2932,4,2014
México,Ocuilan,27,1,1,,,,29,4,2014
México,Otumba,131,24,20,7,6,1,189,4,2014
México,Otzolotepec,88,19,17,22,12,5,163,4,2014
México,Ozumba,82,37,17,6,3,1,146,4,2014
México,Papalotla,18,30,56,16,1,1,122,4,2014
México,Polotitlán,200,54,46,28,5,9,342,4,2014
México,Rayón,71,137,345,89,13,6,661,4,2014
México,San Antonio la Isla,46,33,75,54,23,4,235,4,2014
México,San Felipe del Progreso,139,55,31,7,,1,233,4,2014
México,San José del Rincón,10,27,1,,1,,39,4,2014
México,San Martín de las Pirámides,149,24,16,7,1,,197,4,2014
México,San Mateo Atenco,976,291,453,331,149,70,2270,4,2014
México,San Simón de Guerrero,5,,2,3,3,1,14,4,2014
México,Soyaniquilpan de Juárez,164,63,25,8,,,260,4,2014
México,Sultepec,5,3,2,,,,10,4,2014
México,Tecámac,2242,959,1194,685,268,105,5453,4,2014
México,Tejupilco,128,36,54,29,23,4,274,4,2014
México,Temamatla,55,33,24,7,2,,121,4,2014
México,Temascalapa,56,3,9,14,3,1,86,4,2014
México,Temascalcingo,118,369,153,68,12,8,728,4,2014
México,Temascaltepec,33,7,16,134,32,,222,4,2014
México,Temoaya,138,26,64,53,6,3,290,4,2014
México,Tenancingo,376,109,271,130,81,89,1056,4,2014
México,Tenango del Aire,37,4,5,3,2,,51,4,2014
México,Tenango del Valle,280,255,450,363,192,36,1576,4,2014
México,Teoloyucan,553,292,392,198,101,31,1567,4,2014
México,Teotihuacán,414,158,186,115,44,22,939,4,2014
México,Tepetlaoxtoc,54,33,105,65,,3,260,4,2014
México,Tepetlixpa,25,31,36,5,3,1,101,4,2014
México,Tepotzotlán,901,670,1974,1762,634,378,6319,4,2014
México,Tequixquiac,268,26,26,18,8,8,354,4,2014
México,Texcaltitlán,14,6,16,5,2,,43,4,2014
México,Texcalyacac,2,,,,1,,3,4,2014
México,Texcoco,3210,1224,2214,1866,695,353,9562,4,2014
México,Tezoyuca,192,59,137,82,65,11,546,4,2014
México,Tianguistenco,809,735,1452,1476,839,297,5608,4,2014
México,Timilpan,55,194,17,15,4,3,288,4,2014
México,Tlalmanalco,107,57,55,3,3,,225,4,2014
México,Tlalnepantla de Baz,17397,7627,16297,18782,8439,8046,76588,4,2014
México,Toluca,17175,7662,17327,17362,7203,5104,71833,4,2014
México,Tonanitla,14,4,18,37,,,73,4,2014
México,Tonatico,13,7,4,1,,,25,4,2014
México,Tultepec,336,200,317,207,24,8,1092,4,2014
México,Tultitlán,4215,3181,4949,4104,1427,1071,18947,4,2014
México,Valle de Bravo,554,125,184,199,93,22,1177,4,2014
México,Valle de Chalco Solidaridad,944,269,298,240,80,34,1865,4,2014
México,Villa de Allende,14,5,3,2,,,24,4,2014
México,Villa del Carbón,53,12,31,18,2,1,117,4,2014
México,Villa Guerrero,347,40,78,29,8,7,509,4,2014
México,Villa Victoria,76,81,256,29,17,9,468,4,2014
México,Xalatlaco,53,6,6,11,1,1,78,4,2014
México,Xonacatlán,206,59,58,55,4,13,395,4,2014
México,Zacazonapan,48,,11,245,12,31,347,4,2014
México,Zacualpan,11,,125,31,9,8,184,4,2014
México,Zinacantepec,914,327,620,432,267,92,2652,4,2014
México,Zumpahuacán,60,1,2,1,,,64,4,2014
México,Zumpango,994,342,362,206,89,31,2024,4,2014
Michoacán de Ocampo,Acuitzio,36,17,3,,,,56,4,2014
Michoacán de Ocampo,Aguililla,13,,3,3,,1,20,4,2014
Michoacán de Ocampo,Álvaro Obregón,61,2,6,4,18,1,92,4,2014
Michoacán de Ocampo,Angamacutiro,30,1,3,5,1,,40,4,2014
Michoacán de Ocampo,Angangueo,29,25,6,6,3,2,71,4,2014
Michoacán de Ocampo,Apatzingán,1217,261,315,209,114,32,2148,4,2014
Michoacán de Ocampo,Aporo,2,,,,,,2,4,2014
Michoacán de Ocampo,Aquila,46,7,11,17,8,1,90,4,2014
Michoacán de Ocampo,Ario,346,69,77,32,10,,534,4,2014
Michoacán de Ocampo,Arteaga,3,3,2,16,2,,26,4,2014
Michoacán de Ocampo,Briseñas,77,,18,4,1,,100,4,2014
Michoacán de Ocampo,Buenavista,132,16,25,7,1,1,182,4,2014
Michoacán de Ocampo,Charapan,2,1,,1,,,4,4,2014
Michoacán de Ocampo,Charo,21,17,23,7,3,,71,4,2014
Michoacán de Ocampo,Chavinda,84,28,59,40,2,1,214,4,2014
Michoacán de Ocampo,Cherán,25,5,6,,,,36,4,2014
Michoacán de Ocampo,Chilchota,31,11,10,,1,,53,4,2014
Michoacán de Ocampo,Chucándiro,2,,,,,,2,4,2014
Michoacán de Ocampo,Churintzio,18,3,3,,1,,25,4,2014
Michoacán de Ocampo,Churumuco,4,,,,,,4,4,2014
Michoacán de Ocampo,Coahuayana,38,6,18,22,1,1,86,4,2014
Michoacán de Ocampo,Coalcomán de Vázquez Pallares,43,5,9,4,2,2,65,4,2014
Michoacán de Ocampo,Coeneo,27,4,7,,,,38,4,2014
Michoacán de Ocampo,Cojumatlán de Régules,14,2,,2,,1,19,4,2014
Michoacán de Ocampo,Contepec,29,52,57,11,1,2,152,4,2014
Michoacán de Ocampo,Copándaro,11,,,,,,11,4,2014
Michoacán de Ocampo,Cotija,127,71,68,35,13,7,321,4,2014
Michoacán de Ocampo,Cuitzeo,245,73,57,14,2,2,393,4,2014
Michoacán de Ocampo,Ecuandureo,38,9,14,8,4,1,74,4,2014
Michoacán de Ocampo,Epitacio Huerta,2,,,,,,2,4,2014
Michoacán de Ocampo,Erongarícuaro,18,1,,,,,19,4,2014
Michoacán de Ocampo,Gabriel Zamora,50,10,10,9,,,79,4,2014
Michoacán de Ocampo,Hidalgo,1064,242,299,404,108,28,2145,4,2014
Michoacán de Ocampo,Huandacareo,136,5,8,8,2,,159,4,2014
Michoacán de Ocampo,Huaniqueo,47,4,2,6,1,,60,4,2014
Michoacán de Ocampo,Huetamo,141,39,100,82,31,6,399,4,2014
Michoacán de Ocampo,Huiramba,19,1,,,,,20,4,2014
Michoacán de Ocampo,Indaparapeo,23,2,1,,1,,27,4,2014
Michoacán de Ocampo,Irimbo,41,12,12,1,1,,67,4,2014
Michoacán de Ocampo,Ixtlán,18,11,2,,,,31,4,2014
Michoacán de Ocampo,Jacona,797,297,438,336,77,49,1994,4,2014
Michoacán de Ocampo,Jiménez,32,21,16,4,1,,74,4,2014
Michoacán de Ocampo,Jiquilpan,391,95,98,42,7,8,641,4,2014
Michoacán de Ocampo,José Sixto Verduzco,21,6,7,2,1,,37,4,2014
Michoacán de Ocampo,Juárez,1,,7,2,1,,11,4,2014
Michoacán de Ocampo,Jungapeo,31,12,29,16,6,3,97,4,2014
Michoacán de Ocampo,La Huacana,65,7,70,55,15,4,216,4,2014
Michoacán de Ocampo,La Piedad,1841,540,649,452,147,97,3726,4,2014
Michoacán de Ocampo,Lagunillas,13,7,6,26,6,3,61,4,2014
Michoacán de Ocampo,Lázaro Cárdenas,3174,903,1051,1370,786,1112,8396,4,2014
Michoacán de Ocampo,Los Reyes,1863,163,249,201,109,46,2631,4,2014
Michoacán de Ocampo,Madero,56,7,10,3,1,1,78,4,2014
Michoacán de Ocampo,Maravatío,508,105,138,116,49,7,923,4,2014
Michoacán de Ocampo,Marcos Castellanos,92,5,15,3,,,115,4,2014
Michoacán de Ocampo,Morelia,13816,4292,6421,5658,3047,2252,35486,4,2014
Michoacán de Ocampo,Morelos,8,1,,,,,9,4,2014
Michoacán de Ocampo,Múgica,255,57,33,19,3,3,370,4,2014
Michoacán de Ocampo,Nahuatzen,11,1,,,,,12,4,2014
Michoacán de Ocampo,Nocupétaro,2,,1,1,,,4,4,2014
Michoacán de Ocampo,Nuevo Parangaricutiro,344,43,54,10,5,2,458,4,2014
Michoacán de Ocampo,Nuevo Urecho,7,,,,,,7,4,2014
Michoacán de Ocampo,Numarán,67,59,70,13,2,2,213,4,2014
Michoacán de Ocampo,Ocampo,43,,1,,,,44,4,2014
Michoacán de Ocampo,Pajacuarán,99,21,12,1,,,133,4,2014
Michoacán de Ocampo,Panindícuaro,47,24,21,33,6,1,132,4,2014
Michoacán de Ocampo,Paracho,190,25,36,17,4,1,273,4,2014
Michoacán de Ocampo,Parácuaro,56,3,3,,1,,63,4,2014
Michoacán de Ocampo,Pátzcuaro,1009,352,282,186,53,40,1922,4,2014
Michoacán de Ocampo,Penjamillo,22,2,,2,,,26,4,2014
Michoacán de Ocampo,Peribán,720,135,91,43,7,1,997,4,2014
Michoacán de Ocampo,Purépero,465,81,54,66,23,18,707,4,2014
Michoacán de Ocampo,Puruándiro,508,102,129,105,28,18,890,4,2014
Michoacán de Ocampo,Queréndaro,26,,,,,,26,4,2014
Michoacán de Ocampo,Quiroga,139,36,16,6,1,,198,4,2014
Michoacán de Ocampo,Sahuayo,1088,214,243,172,48,50,1815,4,2014
Michoacán de Ocampo,Salvador Escalante,257,17,38,6,5,,323,4,2014
Michoacán de Ocampo,San Lucas,68,26,58,14,1,,167,4,2014
Michoacán de Ocampo,Santa Ana Maya,19,5,3,4,,,31,4,2014
Michoacán de Ocampo,Senguio,12,,,1,,,13,4,2014
Michoacán de Ocampo,Susupuato,1,,,,,,1,4,2014
Michoacán de Ocampo,Tacámbaro,490,161,133,61,22,12,879,4,2014
Michoacán de Ocampo,Tancítaro,487,59,53,17,4,5,625,4,2014
Michoacán de Ocampo,Tangamandapio,74,8,6,5,,1,94,4,2014
Michoacán de Ocampo,Tangancícuaro,307,53,63,20,3,,446,4,2014
Michoacán de Ocampo,Tanhuato,38,13,21,24,13,1,110,4,2014
Michoacán de Ocampo,Taretan,56,4,28,57,21,5,171,4,2014
Michoacán de Ocampo,Tarímbaro,274,127,244,74,24,12,755,4,2014
Michoacán de Ocampo,Tepalcatepec,161,25,39,55,19,2,301,4,2014
Michoacán de Ocampo,Tingambato,38,12,32,14,1,1,98,4,2014
Michoacán de Ocampo,Tingüindín,177,24,50,42,6,2,301,4,2014
Michoacán de Ocampo,Tiquicheo de Nicolás Romero,4,2,6,,,,12,4,2014
Michoacán de Ocampo,Tlalpujahua,117,18,29,23,3,4,194,4,2014
Michoacán de Ocampo,Tlazazalca,32,2,3,5,1,,43,4,2014
Michoacán de Ocampo,Tocumbo,129,50,71,39,22,9,320,4,2014
Michoacán de Ocampo,Tumbiscatío,,,1,,,,1,4,2014
Michoacán de Ocampo,Turicato,40,12,7,1,,,60,4,2014
Michoacán de Ocampo,Tuxpan,114,8,13,14,6,1,156,4,2014
Michoacán de Ocampo,Tuzantla,9,1,1,,,,11,4,2014
Michoacán de Ocampo,Tzintzuntzan,20,3,6,,,,29,4,2014
Michoacán de Ocampo,Uruapan,6922,2180,2365,1488,488,230,13673,4,2014
Michoacán de Ocampo,Venustiano Carranza,142,32,7,11,2,,194,4,2014
Michoacán de Ocampo,Villamar,21,1,2,2,1,,27,4,2014
Michoacán de Ocampo,Vista Hermosa,47,54,200,12,,,313,4,2014
Michoacán de Ocampo,Yurécuaro,222,57,42,34,14,6,375,4,2014
Michoacán de Ocampo,Zacapu,1177,216,370,368,64,42,2237,4,2014
Michoacán de Ocampo,Zamora,3928,1008,1518,1093,412,282,8241,4,2014
Michoacán de Ocampo,Zináparo,14,,,,,,14,4,2014
Michoacán de Ocampo,Zinapécuaro,284,53,32,33,6,3,411,4,2014
Michoacán de Ocampo,Ziracuaretiro,122,19,16,13,,,170,4,2014
Michoacán de Ocampo,Zitácuaro,1306,364,391,395,180,53,2689,4,2014
Morelos,Amacuzac,95,46,20,18,3,1,183,4,2014
Morelos,Atlatlahucan,146,138,300,194,31,6,815,4,2014
Morelos,Axochiapan,134,32,69,51,9,2,297,4,2014
Morelos,Ayala,252,301,893,644,357,217,2664,4,2014
Morelos,Coatlán del Río,27,7,14,4,1,,53,4,2014
Morelos,Cuautla,2837,1159,1420,1699,613,321,8049,4,2014
Morelos,Cuernavaca,12474,3291,5260,6353,3004,2514,32896,4,2014
Morelos,Emiliano Zapata,743,469,459,337,212,201,2421,4,2014
Morelos,Huitzilac,84,30,16,2,,,132,4,2014
Morelos,Jantetelco,49,1,2,1,,,53,4,2014
Morelos,Jiutepec,2809,1429,2407,2109,1005,620,10379,4,2014
Morelos,Jojutla,781,125,162,212,93,46,1419,4,2014
Morelos,Jonacatepec,61,14,44,36,19,6,180,4,2014
Morelos,Mazatepec,42,7,10,10,3,,72,4,2014
Morelos,Miacatlán,55,26,70,43,3,3,200,4,2014
Morelos,Puente de Ixtla,636,108,157,101,34,8,1044,4,2014
Morelos,Temixco,637,236,347,318,126,38,1702,4,2014
Morelos,Temoac,15,,,,,,15,4,2014
Morelos,Tepalcingo,40,18,17,6,2,,83,4,2014
Morelos,Tepoztlán,335,15,46,30,8,5,439,4,2014
Morelos,Tetecala,3,13,5,4,1,,26,4,2014
Morelos,Tetela del Volcán,5,3,1,,1,,10,4,2014
Morelos,Tlaltizapán de Zapata,209,56,37,12,6,2,322,4,2014
Morelos,Tlaquiltenango,81,13,25,18,6,3,146,4,2014
Morelos,Tlayacapan,39,5,5,2,1,,52,4,2014
Morelos,Totolapan,7,,7,1,,,15,4,2014
Morelos,Xochitepec,313,239,270,166,53,44,1085,4,2014
Morelos,Yautepec,760,365,479,201,47,25,1877,4,2014
Morelos,Yecapixtla,121,304,529,184,60,36,1234,4,2014
Morelos,Zacatepec,489,97,271,338,145,124,1464,4,2014
Morelos,Zacualpan,18,2,2,,,,22,4,2014
Nayarit,Acaponeta,339,112,98,77,34,21,681,4,2014
Nayarit,Ahuacatlán,108,9,20,35,7,2,181,4,2014
Nayarit,Amatlán de Cañas,10,,2,1,,,13,4,2014
Nayarit,Bahía de Banderas,3169,1191,1660,1197,301,221,7739,4,2014
Nayarit,Compostela,784,243,245,118,38,4,1432,4,2014
Nayarit,Del Nayar,3,8,17,4,1,,33,4,2014
Nayarit,Huajicori,,,1,,,,1,4,2014
Nayarit,Ixtlán del Río,427,119,145,55,13,3,762,4,2014
Nayarit,Jala,73,8,7,8,4,3,103,4,2014
Nayarit,La Yesca,3,,2,1,,,6,4,2014
Nayarit,Rosamorada,71,7,5,1,,3,87,4,2014
Nayarit,Ruíz,175,22,60,32,17,5,311,4,2014
Nayarit,San Blas,177,44,53,28,7,3,312,4,2014
Nayarit,San Pedro Lagunillas,6,35,5,1,,,47,4,2014
Nayarit,Santa María del Oro,186,245,78,45,5,1,560,4,2014
Nayarit,Santiago Ixcuintla,658,130,144,138,71,19,1160,4,2014
Nayarit,Tecuala,242,61,106,42,18,3,472,4,2014
Nayarit,Tepic,7562,2182,2959,2660,1052,657,17072,4,2014
Nayarit,Tuxpan,420,61,54,47,18,5,605,4,2014
Nayarit,Xalisco,270,85,127,106,37,14,639,4,2014
Nuevo León,Abasolo,25,4,10,9,,1,49,4,2014
Nuevo León,Agualeguas,71,6,5,3,,,85,4,2014
Nuevo León,Allende,1352,656,736,448,90,72,3354,4,2014
Nuevo León,Anáhuac,184,29,34,33,2,11,293,4,2014
Nuevo León,Apodaca,4446,3596,7813,6015,2935,4028,28833,4,2014
Nuevo León,Aramberri,110,9,7,1,1,2,130,4,2014
Nuevo León,Bustamante,38,2,1,,,,41,4,2014
Nuevo León,Cadereyta Jiménez,1789,481,613,513,87,60,3543,4,2014
Nuevo León,Carmen,235,119,167,355,95,81,1052,4,2014
Nuevo León,Cerralvo,163,55,25,53,10,6,312,4,2014
Nuevo León,China,221,12,57,36,10,5,341,4,2014
Nuevo León,Ciénega de Flores,273,414,1281,1281,407,722,4378,4,2014
Nuevo León,Dr. Arroyo,249,68,34,8,6,2,367,4,2014
Nuevo León,Dr. Coss,6,,,,,,6,4,2014
Nuevo León,Dr. González,66,2,25,6,5,3,107,4,2014
Nuevo León,Galeana,279,142,95,104,15,5,640,4,2014
Nuevo León,García,702,401,1121,1565,474,755,5018,4,2014
