Estado,Municipio,Hasta 1.99,2.00 a 2.60,2.61 a 3.99,4.00 a 6.99,7.00 a 10.99,11.00 en adelante,Total general,mes,anio
San Luis Potosí,El Naranjo,203,88,97,112,21,36,557,4,2015
San Luis Potosí,Guadalcázar,38,2,7,3,,,50,4,2015
San Luis Potosí,Huehuetlán,16,,1,1,,,18,4,2015
San Luis Potosí,Lagunillas,1,,,,,,1,4,2015
San Luis Potosí,Matehuala,2655,610,613,467,133,71,4549,4,2015
San Luis Potosí,Matlapa,27,1,8,21,3,,60,4,2015
San Luis Potosí,Mexquitic de Carmona,134,226,83,25,18,17,503,4,2015
San Luis Potosí,Moctezuma,49,48,10,,,,107,4,2015
San Luis Potosí,Rayón,36,3,10,1,,,50,4,2015
San Luis Potosí,Rioverde,1339,398,342,221,79,52,2431,4,2015
San Luis Potosí,Salinas,251,41,46,16,3,3,360,4,2015
San Luis Potosí,San Antonio,3,,,,,,3,4,2015
San Luis Potosí,San Ciro de Acosta,5,,1,,,,6,4,2015
San Luis Potosí,San Luis Potosí,21896,8772,15018,11172,4264,4062,65184,4,2015
San Luis Potosí,San Martín Chalchicuautla,5,,,,,,5,4,2015
San Luis Potosí,San Vicente Tancuayalab,11,,1,,,,12,4,2015
San Luis Potosí,Santa Catarina,2,,,,,,2,4,2015
San Luis Potosí,Santa María del Río,134,34,39,24,7,1,239,4,2015
San Luis Potosí,Santo Domingo,4,6,7,,,1,18,4,2015
San Luis Potosí,Soledad de Graciano Sánchez,2012,593,630,368,134,102,3839,4,2015
San Luis Potosí,Tamasopo,181,63,93,25,11,10,383,4,2015
San Luis Potosí,Tamazunchale,449,93,123,63,35,19,782,4,2015
San Luis Potosí,Tampacán,6,,,,,,6,4,2015
San Luis Potosí,Tampamolón Corona,43,3,8,18,9,1,82,4,2015
San Luis Potosí,Tamuín,1308,158,150,109,57,57,1839,4,2015
San Luis Potosí,Tancanhuitz,57,54,45,28,7,4,195,4,2015
San Luis Potosí,Tanlajás,22,,1,,,,23,4,2015
San Luis Potosí,Tanquián de Escobedo,25,4,3,1,,1,34,4,2015
